CustID,EducDeg,MonthSal,GeoLivArea,Children,CustMonVal,ClaimsRate,PremMotor,PremHousehold,PremHealth,PremLife,PremWork,Age,FirstPolAge,PremTotal
1.0,2,2177.0,1.0,1.0,380.97,0.39,375.85,79.45,146.36,47.01,16.89,34.0,3.0,665.5600000000001
2.0,2,677.0,4.0,1.0,-131.13,1.12,77.46,416.2,116.69,194.48,106.13,21.0,-14.0,910.9599999999999
3.0,1,2277.0,3.0,0.0,504.67,0.28,206.15,224.5,124.58,86.35,99.02,46.0,21.0,740.6
4.0,3,1099.0,4.0,1.0,-16.99,0.99,182.48,43.35,311.17,35.34,28.34,35.0,9.0,600.6800000000001
5.0,3,1763.0,4.0,1.0,35.23,0.9,338.62,47.8,182.59,18.78,41.45,43.0,13.0,629.24
6.0,2,2566.0,4.0,1.0,-24.33,1.0,440.75,18.9,114.8,7.0,7.67,60.0,30.0,589.1199999999999
7.0,2,4103.0,4.0,0.0,-66.01,1.05,156.92,295.6,317.95,14.67,26.34,73.0,36.0,811.48
8.0,2,1743.0,4.0,1.0,-144.91,1.13,248.27,397.3,144.36,66.68,53.23,42.0,14.0,909.8400000000001
9.0,3,1862.0,1.0,1.0,356.53,0.36,344.51,18.35,210.04,8.78,9.89,38.0,3.0,591.5699999999999
10.0,3,3842.0,1.0,0.0,-119.35,1.12,209.26,182.25,271.94,39.23,55.12,68.0,28.0,757.8000000000001
11.0,3,3995.0,4.0,0.0,290.17,0.53,296.5,116.7,227.71,18.67,10.89,71.0,45.0,670.4699999999999
12.0,3,2834.0,3.0,1.0,405.74,0.46,249.49,216.7,252.38,36.34,35.45,58.0,27.0,790.36
13.0,3,3757.0,1.0,0.0,2.34,0.97,206.04,340.05,257.05,43.12,15.78,67.0,32.0,862.0400000000001
14.0,1,1043.0,3.0,1.0,-75.12,1.06,44.34,342.85,127.69,267.94,94.46,16.0,-17.0,877.2800000000002
15.0,2,1981.0,1.0,1.0,-89.0,1.12,504.43,-70.0,72.79,10.89,16.89,41.0,8.0,535.0
16.0,3,974.0,4.0,1.0,290.06,0.53,318.06,93.9,247.49,-3.0,19.67,37.0,9.0,676.12
